handler_va,occurrence_count,first_instruction,classification,notes
0x0000000011B588A3,8,"SHRD AX, BP, CL",shift_rotate,"First: SHRD AX, BP, CL (opcodes: [6, 41, 59, 82])"
0x0000000011B57FCF,7,"ADD CL, BH",add_sub,"First: ADD CL, BH (opcodes: [0, 19, 52, 92])"
0x0000000011B57EFD,6,"ROR AL, 0x3",shift_rotate,"First: ROR AL, 0x3 (opcodes: [4, 89, 100, 154])"
0x0000000011B57488,6,"BTR AX, SP",shift_rotate,"First: BTR AX, SP (opcodes: [10, 71, 73, 158])"
0x0000000011B5805A,6,NEG DH,add_sub,"First: NEG DH (opcodes: [25, 56, 84, 117])"
0x0000000011B54C50,6,SETNP AL,constant_load,"First: SETNP AL (opcodes: [28, 44, 47, 123])"
0x0000000011B556DA,6,"SBB AH, DH",add_sub,"First: SBB AH, DH (opcodes: [76, 78, 87, 176])"
0x0000000011B57796,6,"BT BX, 0x9",shift_rotate,"First: BT BX, 0x9 (opcodes: [113, 120, 157, 187])"
0x0000000011B55954,5,JMP 0x11b56aea,branch_dispatch,"First: JMP 0x11b56aea (opcodes: [5, 60, 86, 178])"
0x0000000011B58D41,5,"BT BX, 0xb",shift_rotate,"First: BT BX, 0xb (opcodes: [16, 67, 168, 223])"
0x0000000011B57D11,5,"RCL AH, CL",shift_rotate,"First: RCL AH, CL (opcodes: [20, 48, 114, 133])"
0x0000000011B5972C,5,"SHLD AX, SP, 0x9",shift_rotate,"First: SHLD AX, SP, 0x9 (opcodes: [27, 50, 155, 166])"
0x0000000011B57DEE,5,JMP 0x11b569e0,branch_dispatch,"First: JMP 0x11b569e0 (opcodes: [32, 40, 88, 224])"
0x0000000011B55CAF,5,"RCL AL, CL",shift_rotate,"First: RCL AL, CL (opcodes: [33, 93, 183, 205])"
0x0000000011B57B90,5,"ROR AL, CL",shift_rotate,"First: ROR AL, CL (opcodes: [46, 185, 190, 222])"
0x0000000011B54AFF,5,NOT DX,xor,"First: NOT DX (opcodes: [49, 98, 125, 152])"
0x0000000011B5782F,5,"MOVSX DX, AL",pointer_update,"First: MOVSX DX, AL (opcodes: [54, 61, 70, 134])"
0x0000000011B57B51,5,"LEA RAX, [0x4e9bbe27 + RSI*0x8]",pointer_update,"First: LEA RAX, [0x4e9bbe27 + RSI*0x8] (opcodes: [68, 80, 148, 186])"
0x0000000011B57CDE,5,"RCR AL, 0x1",shift_rotate,"First: RCR AL, 0x1 (opcodes: [83, 105, 141, 177])"
0x0000000011B56A65,5,INC RDX,add_sub,"First: INC RDX (opcodes: [106, 130, 174, 212])"
0x0000000011B56057,4,"MOV CL, 0x79",pointer_update,"First: MOV CL, 0x79 (opcodes: [3, 207, 225, 227])"
0x0000000011B556EA,4,BSWAP EDX,shift_rotate,"First: BSWAP EDX (opcodes: [8, 12, 74, 75])"
0x0000000011B57363,4,CMC ,unknown,"First: CMC  (opcodes: [18, 24, 138, 139])"
0x0000000011B57935,4,NOT AL,xor,"First: NOT AL (opcodes: [21, 57, 163, 175])"
0x0000000011B572EC,4,"ADD AL, AH",add_sub,"First: ADD AL, AH (opcodes: [22, 115, 228, 253])"
0x0000000011B57EEB,4,JMP 0x11b56eae,branch_dispatch,"First: JMP 0x11b56eae (opcodes: [29, 55, 103, 215])"
0x0000000011B5966A,4,"BSR DX, DI",unknown,"First: BSR DX, DI (opcodes: [30, 34, 85, 156])"
0x0000000011B5832F,4,"MOVZX EAX, AL",pointer_update,"First: MOVZX EAX, AL (opcodes: [31, 95, 131, 232])"
0x0000000011B59528,4,"SUB AH, DL",add_sub,"First: SUB AH, DL (opcodes: [35, 65, 150, 217])"
0x0000000011B5713A,4,"MOV AL, 0x40",pointer_update,"First: MOV AL, 0x40 (opcodes: [36, 81, 216, 248])"
0x0000000011B580DC,4,"BSF DX, SP",unknown,"First: BSF DX, SP (opcodes: [51, 97, 165, 249])"
0x0000000011B5716B,4,"CMP BL, 0x8",unknown,"First: CMP BL, 0x8 (opcodes: [53, 119, 201, 221])"
0x0000000011B59629,4,"SUB DH, 0xea",add_sub,"First: SUB DH, 0xea (opcodes: [101, 213, 243, 251])"
0x0000000011B5818D,4,"BT SI, SI",shift_rotate,"First: BT SI, SI (opcodes: [102, 121, 164, 237])"
0x0000000011B558CA,4,"OR AL, BL",xor,"First: OR AL, BL (opcodes: [108, 109, 124, 191])"
0x0000000011B58EA4,4,NEG CL,add_sub,"First: NEG CL (opcodes: [112, 153, 172, 200])"
0x0000000011B55EF7,4,"MOVZX AX, AL",pointer_update,"First: MOVZX AX, AL (opcodes: [129, 143, 144, 180])"
0x0000000011B5932F,4,SETZ AH,constant_load,"First: SETZ AH (opcodes: [132, 160, 208, 235])"
0x0000000011B54C47,4,DEC AL,add_sub,"First: DEC AL (opcodes: [196, 230, 233, 236])"
0x0000000011B55B22,3,"ROL DX, CL",shift_rotate,"First: ROL DX, CL (opcodes: [2, 13, 39])"
0x0000000011B57AEC,3,NOT AH,xor,"First: NOT AH (opcodes: [7, 96, 170])"
0x0000000011B55D11,3,"BTR RCX, RSI",shift_rotate,"First: BTR RCX, RSI (opcodes: [9, 126, 127])"
0x0000000011B54B47,3,"MOVZX DX, AL",pointer_update,"First: MOVZX DX, AL (opcodes: [11, 17, 203])"
0x0000000011B565D3,3,"TEST BX, 0x1416",unknown,"First: TEST BX, 0x1416 (opcodes: [15, 64, 79])"
0x0000000011B572BD,3,"BT RDI, 0x1d",shift_rotate,"First: BT RDI, 0x1d (opcodes: [23, 161, 167])"
0x0000000011B55DF6,3,"SHL DH, 0x6",unknown,"First: SHL DH, 0x6 (opcodes: [26, 58, 72])"
0x0000000011B56FCC,3,"OR SI, 0xe1ff",xor,"First: OR SI, 0xe1ff (opcodes: [37, 99, 182])"
0x0000000011B56F79,3,"SAR AH, CL",unknown,"First: SAR AH, CL (opcodes: [38, 116, 171])"
0x0000000011B56941,3,"BTS AX, 0x8",shift_rotate,"First: BTS AX, 0x8 (opcodes: [69, 104, 234])"
0x0000000011B57961,3,"BSR AX, CX",unknown,"First: BSR AX, CX (opcodes: [107, 137, 206])"
0x0000000011B594F8,3,"MOVZX AX, BL",pointer_update,"First: MOVZX AX, BL (opcodes: [110, 162, 252])"
0x0000000011B55CCB,3,"ADC RAX, -0x5c6eea87",unknown,"First: ADC RAX, -0x5c6eea87 (opcodes: [122, 136, 146])"
0x0000000011B58FF9,3,"SBB AL, CH",add_sub,"First: SBB AL, CH (opcodes: [142, 189, 197])"
0x0000000011B58102,2,"SAR AH, 0x7",unknown,"First: SAR AH, 0x7 (opcodes: [1, 173])"
0x0000000011B581AB,2,STC ,unknown,"First: STC  (opcodes: [14, 94])"
0x0000000011B57437,2,"XOR DL, 0xc7",xor,"First: XOR DL, 0xc7 (opcodes: [45, 246])"
0x0000000011B597A0,2,"ROR EAX, CL",shift_rotate,"First: ROR EAX, CL (opcodes: [62, 66])"
0x0000000011B58D1E,2,"LEA RAX, [RAX + 0x3ecb1167]",pointer_update,"First: LEA RAX, [RAX + 0x3ecb1167] (opcodes: [63, 135])"
0x0000000011B56E2A,2,"BT AX, 0x1",shift_rotate,"First: BT AX, 0x1 (opcodes: [90, 193])"
0x0000000011B595D0,2,JMP 0x11b596f3,branch_dispatch,"First: JMP 0x11b596f3 (opcodes: [140, 204])"
0x0000000011B5701A,2,"XOR AL, DL",xor,"First: XOR AL, DL (opcodes: [169, 238])"
0x0000000011B59166,2,"MOV DH, BL",pointer_update,"First: MOV DH, BL (opcodes: [210, 219])"
0x0000000011B563DD,2,"RCR AH, 0x5",shift_rotate,"First: RCR AH, 0x5 (opcodes: [218, 240])"
0x0000000011B55B5D,1,"BT EDX, ESP",shift_rotate,"First: BT EDX, ESP (opcodes: [42])"
0x0000000011B54E0B,1,"ADD AL, AL",add_sub,"First: ADD AL, AL (opcodes: [43])"
0x0000000011B5890F,1,"MOVZX AX, BL",pointer_update,"First: MOVZX AX, BL (opcodes: [77])"
0x0000000011B55C2D,1,"SHR BH, CL",unknown,"First: SHR BH, CL (opcodes: [151])"
0x0000000011B5893D,1,"ADD DX, BP",add_sub,"First: ADD DX, BP (opcodes: [198])"
0x0000000011B58AEE,1,"ROR DL, CL",shift_rotate,"First: ROR DL, CL (opcodes: [202])"
0x0000000011B57405,1,JMP 0x11b58327,branch_dispatch,First: JMP 0x11b58327 (opcodes: [226])
