oracle_id,channel,flow_role,server_port,direction,window_sec,first_frame,last_frame,packet_count,total_bytes,stream_offset_start,stream_offset_end,largest_packet_len,confidence,reason
o001,whisper,world,7780,S2C,nearest,444,444,1,21,143750,143771,21,high,oracle stream window metadata only
o001,whisper,world,7780,S2C,1,444,446,2,36,143750,143786,21,high,oracle stream window metadata only
o001,whisper,world,7780,S2C,3,444,448,3,106,143750,143856,70,high,oracle stream window metadata only
o001,whisper,world,7780,S2C,5,433,448,6,276,143580,143856,85,high,oracle stream window metadata only
o001,whisper,world,7780,S2C,10,429,460,12,503,143544,144047,85,high,oracle stream window metadata only
o001,whisper,world,7780,C2S,nearest,439,439,1,11,429,440,11,high,oracle stream window metadata only
o001,whisper,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o001,whisper,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o001,whisper,world,7780,C2S,5,439,439,1,11,429,440,11,high,oracle stream window metadata only
o001,whisper,world,7780,C2S,10,439,439,1,11,429,440,11,high,oracle stream window metadata only
o001,whisper,event_side,10242,S2C,nearest,437,437,1,89,664,753,89,high,oracle stream window metadata only
o001,whisper,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o001,whisper,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o001,whisper,event_side,10242,S2C,5,437,450,2,230,664,894,141,high,oracle stream window metadata only
o001,whisper,event_side,10242,S2C,10,425,456,5,1035,78,1113,349,high,oracle stream window metadata only
o001,whisper,event_side,10242,C2S,nearest,442,442,1,22,770,792,22,high,oracle stream window metadata only
o001,whisper,event_side,10242,C2S,1,442,442,1,22,770,792,22,high,oracle stream window metadata only
o001,whisper,event_side,10242,C2S,3,442,442,1,22,770,792,22,high,oracle stream window metadata only
o001,whisper,event_side,10242,C2S,5,442,442,1,22,770,792,22,high,oracle stream window metadata only
o001,whisper,event_side,10242,C2S,10,442,462,2,44,770,814,22,high,oracle stream window metadata only
o002,whisper,world,7780,S2C,nearest,460,460,1,85,143962,144047,85,high,oracle stream window metadata only
o002,whisper,world,7780,S2C,1,460,460,1,85,143962,144047,85,high,oracle stream window metadata only
o002,whisper,world,7780,S2C,3,458,469,5,206,143892,144098,85,high,oracle stream window metadata only
o002,whisper,world,7780,S2C,5,452,471,8,312,143856,144168,85,high,oracle stream window metadata only
o002,whisper,world,7780,S2C,10,444,477,14,524,143750,144274,85,high,oracle stream window metadata only
o002,whisper,world,7780,C2S,nearest,464,464,1,11,440,451,11,high,oracle stream window metadata only
o002,whisper,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o002,whisper,world,7780,C2S,3,464,464,1,11,440,451,11,high,oracle stream window metadata only
o002,whisper,world,7780,C2S,5,464,464,1,11,440,451,11,high,oracle stream window metadata only
o002,whisper,world,7780,C2S,10,464,464,1,11,440,451,11,high,oracle stream window metadata only
o002,whisper,event_side,10242,S2C,nearest,456,456,1,219,894,1113,219,high,oracle stream window metadata only
o002,whisper,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o002,whisper,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o002,whisper,event_side,10242,S2C,5,456,456,1,219,894,1113,219,high,oracle stream window metadata only
o002,whisper,event_side,10242,S2C,10,450,456,2,360,753,1113,219,high,oracle stream window metadata only
o002,whisper,event_side,10242,C2S,nearest,462,462,1,22,792,814,22,high,oracle stream window metadata only
o002,whisper,event_side,10242,C2S,1,462,462,1,22,792,814,22,high,oracle stream window metadata only
o002,whisper,event_side,10242,C2S,3,462,462,1,22,792,814,22,high,oracle stream window metadata only
o002,whisper,event_side,10242,C2S,5,462,462,1,22,792,814,22,high,oracle stream window metadata only
o002,whisper,event_side,10242,C2S,10,462,479,2,44,792,836,22,high,oracle stream window metadata only
o003,whisper,world,7780,S2C,nearest,506,506,1,217,144733,144950,217,high,oracle stream window metadata only
o003,whisper,world,7780,S2C,1,502,506,3,388,144562,144950,217,high,oracle stream window metadata only
o003,whisper,world,7780,S2C,3,498,506,5,449,144501,144950,217,high,oracle stream window metadata only
o003,whisper,world,7780,S2C,5,498,515,8,500,144501,145001,217,high,oracle stream window metadata only
o003,whisper,world,7780,S2C,10,492,517,12,676,144395,145071,217,high,oracle stream window metadata only
o003,whisper,world,7780,C2S,nearest,510,510,1,11,462,473,11,high,oracle stream window metadata only
o003,whisper,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o003,whisper,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o003,whisper,world,7780,C2S,5,510,510,1,11,462,473,11,high,oracle stream window metadata only
o003,whisper,world,7780,C2S,10,510,510,1,11,462,473,11,high,oracle stream window metadata only
o003,whisper,event_side,10242,S2C,nearest,539,539,1,113,1113,1226,113,high,oracle stream window metadata only
o003,whisper,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o003,whisper,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o003,whisper,event_side,10242,S2C,5,,,0,0,,,,high,oracle stream window metadata only
o003,whisper,event_side,10242,S2C,10,,,0,0,,,,high,oracle stream window metadata only
o003,whisper,event_side,10242,C2S,nearest,508,508,1,22,858,880,22,high,oracle stream window metadata only
o003,whisper,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o003,whisper,event_side,10242,C2S,3,508,508,1,22,858,880,22,high,oracle stream window metadata only
o003,whisper,event_side,10242,C2S,5,508,508,1,22,858,880,22,high,oracle stream window metadata only
o003,whisper,event_side,10242,C2S,10,490,508,2,44,836,880,22,high,oracle stream window metadata only
o004,whisper,world,7780,S2C,nearest,533,533,1,70,145314,145384,70,high,oracle stream window metadata only
o004,whisper,world,7780,S2C,1,531,533,2,171,145213,145384,101,high,oracle stream window metadata only
o004,whisper,world,7780,S2C,3,527,533,4,207,145177,145384,101,high,oracle stream window metadata only
o004,whisper,world,7780,S2C,5,527,543,7,259,145177,145436,101,high,oracle stream window metadata only
o004,whisper,world,7780,S2C,10,519,547,12,524,145071,145595,101,high,oracle stream window metadata only
o004,whisper,world,7780,C2S,nearest,510,510,1,11,462,473,11,high,oracle stream window metadata only
o004,whisper,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o004,whisper,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o004,whisper,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o004,whisper,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
o004,whisper,event_side,10242,S2C,nearest,539,539,1,113,1113,1226,113,high,oracle stream window metadata only
o004,whisper,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o004,whisper,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o004,whisper,event_side,10242,S2C,5,539,539,1,113,1113,1226,113,high,oracle stream window metadata only
o004,whisper,event_side,10242,S2C,10,539,539,1,113,1113,1226,113,high,oracle stream window metadata only
o004,whisper,event_side,10242,C2S,nearest,535,535,1,22,902,924,22,high,oracle stream window metadata only
o004,whisper,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o004,whisper,event_side,10242,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o004,whisper,event_side,10242,C2S,5,535,535,1,22,902,924,22,high,oracle stream window metadata only
o004,whisper,event_side,10242,C2S,10,525,535,2,44,880,924,22,high,oracle stream window metadata only
o005,whisper,world,7780,S2C,nearest,619,619,1,117,146676,146793,117,high,oracle stream window metadata only
o005,whisper,world,7780,S2C,1,619,619,1,117,146676,146793,117,high,oracle stream window metadata only
o005,whisper,world,7780,S2C,3,615,623,4,223,146606,146829,117,high,oracle stream window metadata only
o005,whisper,world,7780,S2C,5,611,625,7,329,146570,146899,117,high,oracle stream window metadata only
o005,whisper,world,7780,S2C,10,603,635,14,557,146448,147005,117,high,oracle stream window metadata only
o005,whisper,world,7780,C2S,nearest,679,679,1,9,473,482,9,high,oracle stream window metadata only
o005,whisper,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o005,whisper,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o005,whisper,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o005,whisper,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
o005,whisper,event_side,10242,S2C,nearest,627,627,1,131,2038,2169,131,high,oracle stream window metadata only
o005,whisper,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o005,whisper,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o005,whisper,event_side,10242,S2C,5,627,627,1,131,2038,2169,131,high,oracle stream window metadata only
o005,whisper,event_side,10242,S2C,10,627,627,1,131,2038,2169,131,high,oracle stream window metadata only
o005,whisper,event_side,10242,C2S,nearest,617,617,1,22,1012,1034,22,high,oracle stream window metadata only
o005,whisper,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o005,whisper,event_side,10242,C2S,3,617,617,1,22,1012,1034,22,high,oracle stream window metadata only
o005,whisper,event_side,10242,C2S,5,617,617,1,22,1012,1034,22,high,oracle stream window metadata only
o005,whisper,event_side,10242,C2S,10,617,629,2,44,1012,1056,22,high,oracle stream window metadata only
o006,whisper,world,7780,S2C,nearest,639,639,1,21,147122,147143,21,high,oracle stream window metadata only
o006,whisper,world,7780,S2C,1,637,641,3,153,147005,147158,117,high,oracle stream window metadata only
o006,whisper,world,7780,S2C,3,637,643,4,223,147005,147228,117,high,oracle stream window metadata only
o006,whisper,world,7780,S2C,5,635,643,5,293,146935,147228,117,high,oracle stream window metadata only
o006,whisper,world,7780,S2C,10,631,653,10,435,146899,147334,117,high,oracle stream window metadata only
o006,whisper,world,7780,C2S,nearest,679,679,1,9,473,482,9,high,oracle stream window metadata only
o006,whisper,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o006,whisper,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o006,whisper,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o006,whisper,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
o006,whisper,event_side,10242,S2C,nearest,645,645,1,205,2169,2374,205,high,oracle stream window metadata only
o006,whisper,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o006,whisper,event_side,10242,S2C,3,645,645,1,205,2169,2374,205,high,oracle stream window metadata only
o006,whisper,event_side,10242,S2C,5,645,645,1,205,2169,2374,205,high,oracle stream window metadata only
o006,whisper,event_side,10242,S2C,10,645,645,1,205,2169,2374,205,high,oracle stream window metadata only
o006,whisper,event_side,10242,C2S,nearest,647,647,1,22,1056,1078,22,high,oracle stream window metadata only
o006,whisper,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o006,whisper,event_side,10242,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o006,whisper,event_side,10242,C2S,5,647,647,1,22,1056,1078,22,high,oracle stream window metadata only
o006,whisper,event_side,10242,C2S,10,629,647,2,44,1034,1078,22,high,oracle stream window metadata only
o007,whisper,world,7780,S2C,nearest,706,706,1,70,148164,148234,70,high,oracle stream window metadata only
o007,whisper,world,7780,S2C,1,698,706,4,239,147995,148234,133,high,oracle stream window metadata only
o007,whisper,world,7780,S2C,3,698,706,4,239,147995,148234,133,high,oracle stream window metadata only
o007,whisper,world,7780,S2C,5,698,706,4,239,147995,148234,133,high,oracle stream window metadata only
o007,whisper,world,7780,S2C,10,682,716,12,801,147672,148473,217,high,oracle stream window metadata only
o007,whisper,world,7780,C2S,nearest,679,679,1,9,473,482,9,high,oracle stream window metadata only
o007,whisper,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o007,whisper,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o007,whisper,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o007,whisper,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
o007,whisper,event_side,10242,S2C,nearest,704,704,1,179,2949,3128,179,high,oracle stream window metadata only
o007,whisper,event_side,10242,S2C,1,704,704,1,179,2949,3128,179,high,oracle stream window metadata only
o007,whisper,event_side,10242,S2C,3,694,704,3,547,2581,3128,237,high,oracle stream window metadata only
o007,whisper,event_side,10242,S2C,5,690,704,4,754,2374,3128,237,high,oracle stream window metadata only
o007,whisper,event_side,10242,S2C,10,690,704,4,754,2374,3128,237,high,oracle stream window metadata only
o007,whisper,event_side,10242,C2S,nearest,692,692,1,22,1122,1144,22,high,oracle stream window metadata only
o007,whisper,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o007,whisper,event_side,10242,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o007,whisper,event_side,10242,C2S,5,692,692,1,22,1122,1144,22,high,oracle stream window metadata only
o007,whisper,event_side,10242,C2S,10,692,714,2,44,1122,1166,22,high,oracle stream window metadata only
o008,whisper,world,7780,S2C,nearest,716,716,1,133,148340,148473,133,high,oracle stream window metadata only
o008,whisper,world,7780,S2C,1,716,716,1,133,148340,148473,133,high,oracle stream window metadata only
o008,whisper,world,7780,S2C,3,716,722,4,239,148340,148579,133,high,oracle stream window metadata only
o008,whisper,world,7780,S2C,5,708,722,7,345,148234,148579,133,high,oracle stream window metadata only
o008,whisper,world,7780,S2C,10,706,732,11,521,148164,148685,133,high,oracle stream window metadata only
o008,whisper,world,7780,C2S,nearest,679,679,1,9,473,482,9,high,oracle stream window metadata only
o008,whisper,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,S2C,nearest,730,730,1,259,3128,3387,259,high,oracle stream window metadata only
o008,whisper,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,S2C,5,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,S2C,10,730,730,1,259,3128,3387,259,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,nearest,714,714,1,22,1144,1166,22,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,5,714,714,1,22,1144,1166,22,high,oracle stream window metadata only
o008,whisper,event_side,10242,C2S,10,714,724,2,44,1144,1188,22,high,oracle stream window metadata only
o009,group,world,7780,S2C,nearest,750,750,1,87,148791,148878,87,high,oracle stream window metadata only
o009,group,world,7780,S2C,1,750,750,1,87,148791,148878,87,high,oracle stream window metadata only
o009,group,world,7780,S2C,3,750,750,1,87,148791,148878,87,high,oracle stream window metadata only
o009,group,world,7780,S2C,5,750,750,1,87,148791,148878,87,high,oracle stream window metadata only
