parser_id,oracle_id,channel,window_model,packet_count,total_bytes,score,confidence,reason
cm010,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm011,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm012,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm013,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm014,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm015,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm016,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm017,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm018,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm019,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm020,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
