page_va,executable,before_sha256,after_sha256,before_nonzero,after_nonzero,change_reason,before_permissions,permissions
0x11301000,False,89d6b3bfe8718f1a23b39741b0dcb7c83808409e86f2d25028b1b98888ca9efc,7eb0747dd914968b63e0f717bf051e7e0bc021d2daf8ce9988edc90986a61ad0,True,True,,7,7
0x11302000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,3f179d46f214104f7e24f3cf14c6d0cf365081c3d3a6dfab2c085c4d1b6231b7,False,True,,7,7
0x11303000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,d9385a8f43550ea7adcf9d7d9d052108e95d5fcb365b34530da26a858ac31c98,False,True,,7,7
0x11304000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,a5778e42688313273b0c42506cc22bb15899daccd2ad95c9657d32f86105c2d5,False,True,,7,7
0x11305000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,a878efb66dd4e5e43444690759b16387e963b901a37b89389cc19e07a317e891,False,True,,7,7
0x11306000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,2a336b044d386c572c5f3af4ac1b90b829358ac2a5ac860800c5e8c630fbafd8,False,True,,7,7
0x11307000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,4d4a558c863d47d6f69d8e73a411e6e4b6b10da0a04ca7edc764a0a91b7b4b51,False,True,,7,7
0x11308000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,d51bd34db0d67d1fb6f749739d6a334843353e8f23a94f0ffb929470792cd299,False,True,,7,7
0x11309000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b9af55425392cff3b1af6a1cffc0d49b312308ce0daa636ad1ecaa0c0b7e022b,False,True,,7,7
0x1130a000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,043094a418ebcc42e596817bb39141a7ee749e503e91cdce13e72b89e611cf32,False,True,,7,7
0x1130b000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b8be0b6be4f6a6e78356c3f4caafcc06c20ad5286b020710f1f20f3c807d9ad3,False,True,,7,7
0x1130c000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,2cdbf792f11d8528eeffc5c2c60abe647b66faa6e4ce94ccb0d31c86f848b168,False,True,,7,7
0x1130d000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,d795069f8c3e294448908d6e397c0ddb357740ff08e740efd32437ff788f3c79,False,True,,7,7
0x1130e000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,d05d272cfe683024f63ab30de7bbd71b8c3a167a51e226a8ee219bce9afd6e18,False,True,,7,7
0x1130f000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,06efd100399491aa7d3409c83bdda6532a0a9b1e134d4a0e157305d70b453727,False,True,,7,7
0x11310000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,4f13d327ee0774116bdc2ce1f3062f44a34c52a9cdca807b9527542e873d6f9c,False,True,,7,7
0x11311000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,89eaa72264ca85ec604708202e50322893e6ffc9e9762e968e8f8b47b3c1ae3a,False,True,,7,7
0x11312000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,428562247031d6ac302d30f30e93a0b698949d3b41fddb943ed612021b5074ee,False,True,,7,7
0x11313000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,6a9938e12018e98518b4988ee37445686f08640224b6d5831888fdd12fc9eeb1,False,True,,7,7
0x11314000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,533d0d433b8ec83489a6e46b8ee600eb33d6773013845ce8e5f1bfc802ea8d3a,False,True,,7,7
0x11315000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,6d023294ffd2eaf71551ecbaaa8b3df0544907349bcb2ac721a0b95149f8b350,False,True,,7,7
0x11316000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,1fef8a088fcae8e8a76b979a13004ef24823f85ad1ebdd5a03b0db5c2be87076,False,True,,7,7
0x11317000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,790b84d8777f396681fa488030ca949dda5ae16ee8b4b3a5847848492c7a23e8,False,True,,7,7
0x11318000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,a9ea9217f0e1b1f30951a54aec96bcf23157309b83b473118ae302733f9162d5,False,True,,7,7
0x11319000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,31cf68b07a18039435a1bd59a2b1594675acf7095610ea4a701a0a574d85b376,False,True,,7,7
0x1131a000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,a829c551b74a48eba6e62d08dc75f960c23569c40c9fa5dbd265aa1b67262e59,False,True,,7,7
0x1131b000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,f4c2dda5d876330f79f03de6ca6e05a07fa65526b4cf16f7ffa4b467627f6465,False,True,,7,7
0x1131c000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,fe371409bbb6e7b856c6fe378406b745be573f69dd00a410e2b6d6d4f6486da2,False,True,,7,7
0x1131d000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,ef39c21ca0303ac324b392773c973646b5941821b06ddabd99227ab1fa1051d7,False,True,,7,7
0x1131e000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,58c0c175b679b4282db3976b11d2d1536394c9a5664de8391a652fdd0bb019e6,False,True,,7,7
0x1131f000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,8e5f5e4f6c85797e20a5399f19101cbfa8c1bdd3de9ae9ee3140b7b0c712b389,False,True,,7,7
0x11320000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,6a8d37e751fa3a48d17899d41b5cbf74d9e70b51e164ac910a2fff3783b034e0,False,True,,7,7
0x11321000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,866539fe82f331534890984749cb905f331028782f5fa7be6a02e1e7f5e6565d,False,True,,7,7
0x11322000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,fb931ca7ad0c3b1cc0503b06599f4c37d877c18397cfbda6e7d1f9c52033e2e0,False,True,,7,7
0x11323000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,ad42a551d98e3d32e6bca8460a744618a16d58b0e49f193e4daad623d0e0b233,False,True,,7,7
0x11324000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,8fc8b565d3a5139049cd868e7eb64e2090dd7ba287c3e544a11821a1239e1acc,False,True,,7,7
0x11325000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,36f1b2c9d403747a1a84933017c9b51e0748afb1828c3daa59b266a153f29a3f,False,True,,7,7
0x11326000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,14d20104a26ef7fea3b44c5fc3cb31f10d26f96581043ec4b6bba1a114b94829,False,True,,7,7
0x11327000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,2309e449baf15798fec1b8e54a042f508d042e66e2a37b656d48a5fafb49a632,False,True,,7,7
0x11328000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,875003c8723cf34bec673284b98ebde64651e51a8f0aae1cb3a9987a56aafe7e,False,True,,7,7
0x11329000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,9be9ac37fe8c0583e19da44250085efaab536be796d7376ecc47845e20b717a3,False,True,,7,7
0x1132a000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,85145468f18d0dd73dca30727873d8c14150aa1b447ab73e91682a13f6c5a2ca,False,True,,7,7
0x1132b000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,56e9b2332d41ba3e4688ebaa4570b709c1b3c1c7357f7c3bec07aec817c5f17e,False,True,,7,7
0x1132c000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,32137c66e6093d486c5a945ac9e53bdaeac3ddb8811970fe2fd7a206452a7ef0,False,True,,7,7
0x1132d000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,f3139dae3742c2976f2ffa3c1cda45a3acd953cb5b46be83aaa60d9da340bd04,False,True,,7,7
0x1132e000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b36cace7419aa7d23d12fe15170b2ee5e9f4e9030a32cbd49f160f3851db054b,False,True,,7,7
0x1132f000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,36f7245357a94a2e834e2da59d3a888f66872bc1779b4e82aac829dcf93e7042,False,True,,7,7
0x11330000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,3b4c603b04e953075851769b65a0fa9c68fec69b2902102dffad8185de90b39a,False,True,,7,7
0x11331000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,cf1b2d70262b6477b8a7137dbeb0df802ee58ce9be4aaad02acaac20dab188e6,False,True,,7,7
0x11332000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,8d80a3cca868cd4192d158474380806a4e1d170cfbe5f301dd9bbf1f14a7dfcd,False,True,,7,7
0x11333000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,60a4cce53702db5f1e9fb227b03c1a1abaa6e788d76f0533c160eecd7b00c29b,False,True,,7,7
0x11334000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,72c49b47ddb47fbc70719f24c4fe96372ae4f899f54176fb15057ed52656c0b5,False,True,,7,7
0x11335000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,a438da8185baacdfcd804c471aa32c11466b1f70294cf78d494ca1d04aa0a050,False,True,,7,7
0x11336000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,5197568994afec13d48e935008b65642d4792001924ea32416506e6be39c0aca,False,True,,7,7
0x11337000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,d28b4c2f880a13b81086931398a5947df053c67c15431816a6e0a28abe9b4393,False,True,,7,7
0x11338000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,a36a45cf61a41f9a1cf0e68d7a1ef6eaaa8f8469ac719950a538ef631b0bbd4e,False,True,,7,7
0x11339000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,cf90fe018ecae46a01e604a0dd89d009aeb320ad8f63be83f0197f10dd8d1c10,False,True,,7,7
0x1133a000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,61dd9d3b7ed0aba04abec7c8ca17ef6fcaaae19c19ed4a69067403896629adc6,False,True,,7,7
0x1133b000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,1c62771bb5b6450089cddc0d07727af8c405a65aa2a668f95995947cc6b31180,False,True,,7,7
0x1133c000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,95edc147db4e4a52cb8413b262f5fbc953630aad5ea89c0b66f280a5af6656f7,False,True,,7,7
0x1133d000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,f82cc520c1a4b3c98f058f6ce30e1a7e5ccdd562306f7244d1cab1d5ad3f6b41,False,True,,7,7
0x1133e000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,86d1d493eda27034daf46da75ab8ae4b78db5017279200be1e3d46d85bdda6a3,False,True,,7,7
0x1133f000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,1e27e4d4482b89828aaa7be639fe226f84f9094684361339216f1b61fbb3f05a,False,True,,7,7
0x11340000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b4cd77cc08bcb2577bc00ca5f0cb43cde97b2e05329dbb32b7310def353aebbd,False,True,,7,7
0x11341000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,2d440283d0d7b1e01f28eca541338539a3f3ab2dc6af570ac84398f1bf90dc22,False,True,,7,7
0x11342000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,9a578b248ececeaf672c8d994415acfe30548902135b47d54b3f99ed2a674298,False,True,,7,7
0x11343000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b20d165fca4c2227d248886ec5fca8128e1fa6b3bea72c835ff4e6d0d4d7adeb,False,True,,7,7
0x11344000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,c167ebb4c628dd9703c9f8c3fac7e0bd970fb57b50c3889236915d7ff7f1f7ce,False,True,,7,7
0x11345000,False,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,8893fd6feb2072e8f5bd74a42d3d5434555c926bc7db1dfcf2132853fad6abeb,False,True,,7,7
0x11347000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,ffd7b729a095a62306ecd77fdd6215e9636cfcba1eecc4ae786be8bea7df2e5c,False,True,executable_page_changed,7,7
0x11348000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,cea237b9dedcabc51287d6875b1c695ec770f6d33e109b4bc4695ed494a2f768,False,True,executable_page_changed,7,7
0x11349000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,f7cf4dc15fcf1cc0f230720c5769c13d6b41e53d1478d591a303fd88ce4d4937,False,True,executable_page_changed,7,7
0x1134a000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,a4c3f4a429c0370c655a42430afec9a68857ab2750e3c9e448eff991e0c9055f,False,True,executable_page_changed,7,7
0x1134b000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,96e66cdd373d02c49f028e57444a1ca1e8cf2c066e3604d3b0689f51b2c3d846,False,True,executable_page_changed,7,7
0x1134c000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,9a55379270d707833afa4dedd1f934f63a87f0ad593cf34685ab2cfc32fa9875,False,True,executable_page_changed,7,7
0x1134d000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,e46c9a8eda5a0e0fad23e9cf000e28bdf1325ac1662e03e4b21d8cf20288d7d8,False,True,executable_page_changed,7,7
0x1134e000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,0cfd987bbaa4c26a8e911564062550ae0ee5aec19a0ecb97c7ad3ee94c1c753f,False,True,executable_page_changed,7,7
0x1134f000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,dcc48d61bdb745d48a615add57d1557e0c222cbab6267356711d587573524b54,False,True,executable_page_changed,7,7
0x11350000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,75549d1b081c0628396726fc6607b352669419354a2257a2655bdb77c6192734,False,True,executable_page_changed,7,7
0x11351000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,ce09ff29494ad34bc397e97d5a0003b4d15fb4e0a5ad3eeb6d986041823f7ef2,False,True,executable_page_changed,7,7
0x11352000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,87b1daec796cdd8113ee34f671803eaf3ede9e30659b65945c0df0a28aed86a2,False,True,executable_page_changed,7,7
0x11353000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b1bb90fdbf1cb2f1c48678dc778bdc9ffc29e07a5ec887b56f1493a45490822b,False,True,executable_page_changed,7,7
0x11354000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,20a3f05483f46c70c6a960617a35201780b7d08d95741f5253ff5ff42b8af1a6,False,True,executable_page_changed,7,7
0x11355000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,0e6d4e11e3cb1e9a2301b1ad1c5e2ef4784f4cd86edcbf36d25aeb64fc33f98e,False,True,executable_page_changed,7,7
